proceedings:ID,address:string,author:string[],booktitle:string,cite:string[],cite-label:string[],editor:string[],editor-orcid:string[],ee:string[],ee-type:string[],i:string,isbn:string[],isbn-type:string[],journal:string,key:string,note:string[],note-type:string,number:string,pages:string,publisher:string[],publisher-href:string,publtype:string,school:string,series:string[],series-href:string[],sub:string,sup:string[],title:string,url:string,volume:string,year:int
247460,NA,NA,NA,NA,NA,Adrian David Cheok|Wolfgang Müller 0004|Zhigeng Pan,NA,https://doi.org/10.1007/978-3-662-56689-3,NA,NA,978-3-662-56688-6|978-3-662-56689-3,NA,NA,journals/tedu/2018-14,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,Transactions on Edutainment XIV,db/journals/tedu/tedu14.html,10790,2018
1709128,NA,NA,DICE-FOPARA@ETAPS,NA,NA,Georg Moser|Guillaume Bonfante,NA,http://arxiv.org/abs/1704.05169,oa,NA,NA,NA,NA,journals/corr/BonfanteM17,NA,NA,NA,NA,NA,NA,NA,NA,EPTCS,db/series/eptcs/index.html,NA,NA,"Proceedings 8th Workshop on Developments in Implicit Computational Complexity and 5th Workshop on Foundational and Practical Aspects of Resource Analysis, DICE-FOPARA@ETAPS 2017, Uppsala, Sweden, April 22-23, 2017.",db/series/eptcs/eptcs248.html,248,2017
1849235,NA,NA,DCFS,NA,NA,Giovanni Pighizzini|Ian McQuillan,NA,http://arxiv.org/abs/1008.1270|https://doi.org/10.4204/EPTCS.31,oa|oa,NA,NA,NA,NA,journals/corr/abs-1008-1270,NA,NA,NA,NA,NA,NA,NA,NA,EPTCS,db/series/eptcs/index.html,NA,NA,"Proceedings Twelfth Annual Workshop on Descriptional Complexity of Formal Systems, DCFS 2010, Saskatoon, Canada, 8-10th August 2010.",db/series/eptcs/eptcs31.html,31,2010
1896869,NA,NA,GCM@STAF,NA,NA,Berthold Hoffmann|Mark Minas,NA,https://arxiv.org/abs/2112.10217|https://doi.org/10.4204/EPTCS.350,oa|oa,NA,NA,NA,NA,journals/corr/abs-2112-10217,NA,NA,NA,NA,NA,NA,NA,NA,EPTCS,db/series/eptcs/index.html,NA,NA,"Proceedings Twelfth International Workshop on Graph Computational Models, GCM@STAF 2021, Online, 22nd June 2021.",db/series/eptcs/eptcs350.html,350,2021
5868114,NA,NA,IWINAC (2),NA,NA,F. Javier Toledo-Moreo|Félix de la Paz López|Hojjat Adeli|José Manuel Ferrández de Vicente|José Ramón Álvarez Sánchez,0000-0001-5659-6841|0000-0002-1530-159X|0000-0002-4613-6101,https://doi.org/10.1007/978-3-319-18833-1,NA,NA,978-3-319-18832-4,NA,NA,conf/iwinac/2015-2,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,"Bioinspired Computation in Artificial Systems - International Work-Conference on the Interplay Between Natural and Artificial Computation, IWINAC 2015, Elche, Spain, June 1-5, 2015, Proceedings, Part II",db/conf/iwinac/iwinac2015-2.html,9108,2015
5926305,NA,NA,ECML/PKDD (1),NA,NA,Andreas Hotho|Arno J. Knobbe|Céline Robardet|Marloes H. Maathuis|Ulf Brefeld|Élisa Fromont,0000-0002-0335-5099|0000-0002-0483-5772|0000-0002-3398-9893|0000-0002-8583-9408|0000-0003-0133-3491,https://doi.org/10.1007/978-3-030-46150-8,NA,NA,978-3-030-46149-2|978-3-030-46150-8,NA,NA,conf/pkdd/2019-1,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,"Machine Learning and Knowledge Discovery in Databases - European Conference, ECML PKDD 2019, Würzburg, Germany, September 16-20, 2019, Proceedings, Part I",db/conf/pkdd/pkdd2019-1.html,11906,2020
5960559,NA,NA,NPC,NA,NA,Chen Ding|Ran Zheng|Zhiyuan Shao,NA,https://doi.org/10.1007/978-3-642-15672-4,NA,NA,978-3-642-15671-7,NA,NA,conf/npc/2010,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,"Network and Parallel Computing, IFIP International Conference, NPC 2010, Zhengzhou, China, September 13-15, 2010. Proceedings",db/conf/npc/npc2010.html,6289,2010
5970272,NA,NA,WISM (3),NA,NA,Fu Lee Wang|Jingsheng Lei|Junjie Chen 0001|Xiangfeng Luo|Zhiguo Gong,0000-0002-3976-0053,https://doi.org/10.1007/978-3-642-24273-1,NA,NA,978-3-642-24272-4,NA,NA,conf/wism/2011-3,NA,NA,NA,NA,Springer,NA,NA,NA,Communications in Computer and Information Science,db/series/ccis/index.html,NA,NA,"Emerging Research in Web Information Systems and Mining - International Conference, WISM 2011, Taiyuan, China, September 23-25, 2011. Proceedings",db/conf/wism/wism2011-3.html,238,2011
5989038,NA,NA,CIKM,NA,NA,Alexandros Labrinidis|Alfredo Cuzzocrea|Andrei Z. Broder|Assaf Schuster|Divesh Srivastava|Haixun Wang|James Allan|K. Selçuk Candan|Mohammed J. Zaki|Norman W. Paton|Rakesh Agrawal 0001,NA,http://dl.acm.org/citation.cfm?id=3269206,NA,NA,978-1-4503-6014-2,NA,NA,conf/cikm/2018,NA,NA,NA,NA,ACM,NA,NA,NA,NA,NA,NA,NA,"Proceedings of the 27th ACM International Conference on Information and Knowledge Management, CIKM 2018, Torino, Italy, October 22-26, 2018",db/conf/cikm/cikm2018.html,NA,2018
5998613,NA,NA,SIW@CCS,NA,NA,Bill Chu|Emerson R. Murphy-Hill|Heather Richter Lipford|Robert Biddle,NA,https://doi.org/10.1145/2663887,NA,NA,978-1-4503-3152-4,NA,NA,conf/ccs/2014siw,NA,NA,NA,NA,ACM,NA,NA,NA,NA,NA,NA,NA,"Proceedings of the 2014 ACM Workshop on Security Information Workers, SIW '14, Scottsdale, Arizona, USA, November 7, 2014",db/conf/ccs/siw2014.html,NA,2014
5999115,NA,NA,CCSW,NA,NA,Adrian Perrig|Radu Sion,NA,http://dl.acm.org/citation.cfm?id=1866835,NA,NA,978-1-4503-0089-6,NA,NA,conf/ccs/2010ccsw,NA,NA,NA,NA,ACM,NA,NA,NA,NA,NA,NA,NA,"Proceedings of the 2nd ACM Cloud Computing Security Workshop, CCSW 2010, Chicago, IL, USA, October 8, 2010",db/conf/ccs/ccsw2010.html,NA,2010
6029393,NA,NA,Entertainment Computing and Serious Games,NA,NA,Katharina Anna Zweig|Maic Masuch|Michael D. Kickmeier-Rust|Ralf Dörner|Stefan Göbel 0001,NA,https://doi.org/10.1007/978-3-319-46152-6,NA,NA,978-3-319-46151-9,NA,NA,conf/dagstuhl/2015games,NA,NA,NA,NA,NA,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,"Entertainment Computing and Serious Games - International GI-Dagstuhl Seminar 15283, Dagstuhl Castle, Germany, July 5-10, 2015, Revised Selected Papers",db/conf/dagstuhl/games2015.html,9970,2016
6030339,NA,NA,Dagstuhl Seminar on Partial Evaluation,NA,NA,Olivier Danvy|Peter Thiemann 0001|Robert Glück,0000-0001-6990-3935,https://doi.org/10.1007/3-540-61580-6|https://www.wikidata.org/entity/Q62038290,NA,NA,3-540-61580-6,NA,NA,conf/dagstuhl/1996pe,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,"Partial Evaluation, International Seminar, Dagstuhl Castle, Germany, February 12-16, 1996, Selected Papers",db/conf/dagstuhl/dagstuhl-pe96.html,1110,1996
6091060,NA,NA,REV,NA,NA,Kalyan Ram Bhimavaram|Michael E. Auer|Xiao-Guang Yue,NA,https://doi.org/10.1007/978-3-030-82529-4,NA,NA,978-3-030-82528-7|978-3-030-82529-4,NA,NA,conf/rev/2021,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Networks and Systems,db/series/lnns/index.html,NA,NA,"Online Engineering and Society 4.0 - Proceedings of the 18th International Conference on Remote Engineering and Virtual Instrumentation, REV 2021, Hongkong, China, 24-26 February 2021.",db/conf/rev/rev2021.html,298,2022
6206071,NA,NA,HCI (12),NA,NA,Pei-Luen Patrick Rau,NA,https://doi.org/10.1007/978-3-030-77080-8,NA,NA,978-3-030-77079-2|978-3-030-77080-8,NA,NA,conf/hci/2021-12,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,"Cross-Cultural Design. Applications in Cultural Heritage, Tourism, Autonomous Vehicles, and Intelligent Agents - 13th International Conference, CCD 2021, Held as Part of the 23rd HCI International Conference, HCII 2021, Virtual Event, July 24-29, 2021, Proceedings, Part III",db/conf/hci/hci2021-12.html,12773,2021
6233758,NA,NA,MEDES,NA,NA,Agma J. M. Traina|Epaminondas Kapetanios|Richard Chbeir|Youakim Badr,NA,NA,NA,NA,978-1-60558-829-2,NA,NA,conf/medes/2009,NA,NA,NA,NA,ACM,NA,NA,NA,NA,NA,NA,NA,"MEDES '09: International ACM Conference on Management of Emergent Digital EcoSystems, Lyon, France, October 27-30, 2009",db/conf/medes/medes2009.html,NA,2009
6248960,NA,NA,CAAN,NA,NA,Jeannette C. M. Janssen|Pawel Pralat,NA,https://doi.org/10.1007/978-3-540-77294-1,NA,NA,978-3-540-77293-4,NA,NA,conf/caan/2007,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,"Combinatorial and Algorithmic Aspects of Networking, 4th Workshop, CAAN 2007, Halifax, Canada, August 14, 2007. Revised Papers",db/conf/caan/caan2007.html,4852,2007
6250154,NA,NA,PARA,NA,NA,Dorte Olesen|Jack J. Dongarra|Jerzy Wasniewski|Kaj Madsen,NA,https://doi.org/10.1007/3-540-62095-8,NA,NA,3-540-62095-8,NA,NA,conf/para/1996,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,"Applied Parallel Computing, Industrial Computation and Optimization, Third International Workshop, PARA 96, Lyngby, Denmark, August 18-21, 1996, Proceedings",db/conf/para/para1996.html,1184,1996
6265674,NA,NA,VLSI-SoC,NA,NA,Hans Eveking|Leandro Soares Indrusiak|Manfred Glesner|Peter Zipf|Ricardo Augusto da Luz Reis|Vincent John Mooney III,NA,NA,NA,NA,3-901882-17-0,NA,NA,conf/vlsi/2003soc,NA,NA,NA,NA,"Technische Universität Darmstadt, Insitute of Microelectronic Systems",NA,NA,NA,NA,NA,NA,NA,"IFIP VLSI-SoC 2003, IFIP WG 10.5 International Conference on Very Large Scale Integration of System-on-Chip, Darmstadt, Germany, 1-3 December 2003",db/conf/vlsi/vlsisoc2003.html,NA,2003
6333200,NA,NA,DepLing,NA,NA,Eva Hajicová|Joakim Nivre,NA,https://aclanthology.org/W15-2100/|https://aclanthology.org/volumes/W15-21/,oa|oa,NA,978-91-637-8965-6,NA,NA,conf/depling/2015,NA,NA,NA,NA,"Uppsala University, Department of Linguistics and Philology",NA,NA,NA,NA,NA,NA,NA,"Proceedings of the Third International Conference on Dependency Linguistics, DepLing 2015, August 24-26 2015, Uppsala University, Uppsala, Sweden",db/conf/depling/depling2015.html,NA,2015
6382726,NA,NA,AICI (2),NA,NA,Duoqian Miao|Fu Lee Wang|Hepu Deng|Jingsheng Lei,0000-0002-3976-0053|0000-0003-1215-1650,https://doi.org/10.1007/978-3-642-23887-1,NA,NA,978-3-642-23886-4,NA,NA,conf/aici/2011-2,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,"Artificial Intelligence and Computational Intelligence - Third International Conference, AICI 2011, Taiyuan, China, September 24-25, 2011, Proceedings, Part II",db/conf/aici/aici2011-2.html,7003,2011
6413276,NA,NA,STPIS,NA,NA,Alexander Nolte|Anna Sigridur Islind|Federico Pigni|Helena Vallo Hult|Mikko Rajanen|Peter M. Bednar,NA,http://ceur-ws.org/Vol-2789|https://nbn-resolving.org/urn:nbn:de:0074-2789-9,oa,NA,NA,NA,NA,conf/stpis/2020,NA,NA,NA,NA,CEUR-WS.org,NA,NA,NA,CEUR Workshop Proceedings,db/series/ceurws/index.html,NA,NA,"Proceedings of the 6th International Workshop on Socio-Technical Perspective in IS Development (STPIS 2020), Virtual conference in Grenoble, France, June 8-9, 2020.",db/conf/stpis/stpis2020.html,2789,2020
6482318,NA,NA,TCC,NA,NA,Ran Canetti,NA,https://doi.org/10.1007/978-3-540-78524-8,NA,NA,978-3-540-78523-1,NA,NA,conf/tcc/2008,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,"Theory of Cryptography, Fifth Theory of Cryptography Conference, TCC 2008, New York, USA, March 19-21, 2008.",db/conf/tcc/tcc2008.html,4948,2008
6485758,NA,NA,Color Imaging Conference,NA,NA,NA,NA,http://ist.publisher.ingentaconnect.com/content/ist/cic/2003/00002003/00000001,archive,NA,0-89208-248-8,NA,NA,conf/imaging/2003,NA,NA,NA,NA,IS&T - The Society for Imaging Science and Technology,NA,NA,NA,NA,NA,NA,NA,"The Eleventh Color Imaging Conference: Color Science and Engineering Systems, Technologies, Applications, CIC 2003, Scottsdale, Arizona, USA, November 4-7, 2003",db/conf/imaging/cic2003.html,NA,2003
6496298,NA,NA,CSFW,NA,NA,NA,NA,https://ieeexplore.ieee.org/xpl/conhome/304/proceeding,NA,NA,0-8186-2071-4,NA,NA,conf/csfw/1990,NA,NA,NA,NA,IEEE Computer Society,NA,NA,NA,NA,NA,NA,NA,"Third IEEE Computer Security Foundations Workshop - CSFW'90, Franconia, New Hampshire, USA, June 12-14, 1990, Proceedings",db/conf/csfw/csfw1990.html,NA,1990
6511126,NA,NA,ITI,NA,NA,NA,NA,https://ieeexplore.ieee.org/xpl/conhome/4578606/proceeding,NA,NA,978-953-7138-12-7,NA,NA,conf/iti/2008,NA,NA,NA,NA,IEEE,NA,NA,NA,NA,NA,NA,NA,"Proceedings of the ITI 2008 30th International Conference on Information Technology Interfaces, Dubrovnik, Croatia, June 23-26, 2008",db/conf/iti/iti2008.html,NA,2008
6535075,NA,NA,ICC Workshops,NA,NA,NA,NA,https://ieeexplore.ieee.org/xpl/conhome/9138348/proceeding,NA,NA,978-1-7281-7440-2,NA,NA,conf/icc/2020w,NA,NA,NA,NA,IEEE,NA,NA,NA,NA,NA,NA,NA,"2020 IEEE International Conference on Communications Workshops, ICC Workshops 2020, Dublin, Ireland, June 7-11, 2020",db/conf/icc/icc2020w.html,NA,2020
6602818,NA,NA,HPCC,NA,NA,NA,NA,https://ieeexplore.ieee.org/xpl/conhome/4637648/proceeding|https://www.computer.org/csdl/proceedings/hpcc/2008/3352/00/index.html,NA,NA,978-0-7695-3352-0,NA,NA,conf/hpcc/2008,NA,NA,NA,NA,IEEE Computer Society,NA,NA,NA,NA,NA,NA,NA,"10th IEEE International Conference on High Performance Computing and Communications, HPCC 2008, 25-27 Sept. 2008, Dalian, China",db/conf/hpcc/hpcc2008.html,NA,2008
6674954,NA,NA,"Treewidth, Kernels, and Algorithms",NA,NA,Erik Jan van Leeuwen|Fedor V. Fomin|Stefan Kratsch,0000-0003-1955-4612,https://doi.org/10.1007/978-3-030-42071-0,NA,NA,978-3-030-42070-3|978-3-030-42071-0,NA,NA,conf/birthday/2020bodlaender,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,"Treewidth, Kernels, and Algorithms - Essays Dedicated to Hans L. Bodlaender on the Occasion of His 60th Birthday",db/conf/birthday/bodlaender2020.html,12160,2020
6676489,NA,NA,The Art of Modelling Computational Systems,NA,NA,Carlos Olarte|Frank Valencia|Kostas Chatzikokolakis 0001|Mário S. Alvim,NA,https://doi.org/10.1007/978-3-030-31175-9,NA,NA,978-3-030-31174-2|978-3-030-31175-9,NA,NA,conf/birthday/2019palamidessi,NA,NA,NA,NA,Springer,NA,NA,NA,Lecture Notes in Computer Science,db/series/lncs/index.html,NA,NA,The Art of Modelling Computational Systems: A Journey from Logic and Concurrency to Security and Privacy - Essays Dedicated to Catuscia Palamidessi on the Occasion of Her 60th Birthday,db/conf/birthday/palamidessi2019.html,11760,2019
6769849,NA,NA,AIAI,NA,NA,Ilias Maglogiannis|John MacIntyre|Lazaros Iliadis,0000-0002-6404-1528|0000-0003-2860-399X,https://doi.org/10.1007/978-3-030-79150-6,NA,NA,978-3-030-79149-0|978-3-030-79150-6,NA,NA,conf/ifip12/2021aiai,NA,NA,NA,NA,Springer,NA,NA,NA,IFIP Advances in Information and Communication Technology,db/series/ifip/index.html,NA,NA,"Artificial Intelligence Applications and Innovations - 17th IFIP WG 12.5 International Conference, AIAI 2021, Hersonissos, Crete, Greece, June 25-27, 2021, Proceedings",db/conf/ifip12/aiai2021.html,627,2021
6821342,NA,NA,HWID,NA,NA,Dinesh S. Katre|Pradeep Yammiyavar|Rikke Orngreen|Torkil Clemmensen,0000-0001-9042-3178,https://doi.org/10.1007/978-3-642-11762-6,NA,NA,978-3-642-11761-9,NA,NA,conf/ifip13/2009,NA,NA,NA,NA,Springer,NA,NA,NA,IFIP Advances in Information and Communication Technology,db/series/ifip/index.html,NA,NA,"Human Work Interaction Design: Usability in Social, Cultural and Organizational Contexts - Second IFIP WG 13.6 Conference, HWID 2009, Pune, India, October 7-8, 2009, Revised Selected Papers",db/conf/ifip13/hwid2009.html,316,2010
6846413,NA,NA,SOLI,NA,NA,NA,NA,http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=6948741,NA,NA,NA,NA,NA,conf/soli/2014,NA,NA,NA,NA,IEEE,NA,NA,NA,NA,NA,NA,NA,"Proceedings of 2014 IEEE International Conference on Service Operations and Logistics, and Informatics, Qingdao, China, October 8-10, 2014",db/conf/soli/soli2014.html,NA,2014
6863236,NA,NA,ReCoSoC,NA,NA,NA,NA,https://ieeexplore.ieee.org/xpl/conhome/6851790/proceeding,NA,NA,978-1-4799-5810-8,NA,NA,conf/recosoc/2014,NA,NA,NA,NA,IEEE,NA,NA,NA,NA,NA,NA,NA,"9th International Symposium on Reconfigurable and Communication-Centric Systems-on-Chip, ReCoSoC 2014, Montpellier, France, May 26-28, 2014",db/conf/recosoc/ReCoSoC2014.html,NA,2014
6869073,NA,NA,CICA,NA,NA,NA,NA,https://ieeexplore.ieee.org/xpl/conhome/4914929/proceeding,NA,NA,978-1-4244-2752-9,NA,NA,conf/cica/2009,NA,NA,NA,NA,IEEE,NA,NA,NA,NA,NA,NA,NA,"2009 IEEE Symposium on Computational Intelligence in Control and Automation, CICA 2009, Nashville, TN, USA, March 30 - April 2, 2009",db/conf/cica/cica2009.html,NA,2009
6871812,NA,NA,Annual Simulation Symposium,NA,NA,NA,NA,http://www.computer.org/csdl/proceedings/ss/1995/7091/00/index.html|https://ieeexplore.ieee.org/xpl/conhome/3145/proceeding,NA,NA,0-8186-7091-6,NA,NA,conf/anss/1995,NA,NA,NA,NA,IEEE Computer Society,NA,NA,NA,NA,NA,NA,NA,"Proceedings 28st Annual Simulation Symposium (SS '95), April 25-28, 1995, Santa Barbara, California, USA",db/conf/anss/anss1995.html,NA,1995
6912751,NA,NA,GISTAM (Selected Papers),NA,NA,Cédric Grueau|Lemonia Ragia|Robert Laurini,NA,https://doi.org/10.1007/978-3-030-76374-9,NA,NA,978-3-030-76373-2|978-3-030-76374-9,NA,NA,conf/gistam/2020s,NA,NA,NA,NA,Springer,NA,NA,NA,Communications in Computer and Information Science,db/series/ccis/index.html,NA,NA,"Geographical Information Systems Theory, Applications and Management - 6th International Conference, GISTAM 2020, Prague, Czech Republic, May 7-9, 2020, Revised Selected Papers",db/conf/gistam/gistam2020s.html,1411,2021
6975514,NA,NA,SIGMETRICS,NA,NA,Blaine D. Gaither|Larry W. Dowdy|Rick Bunt,NA,https://doi.org/10.1145/183018|https://doi.org/10.1145/183019,NA,NA,0-89791-659-X,NA,NA,conf/sigmetrics/1994,NA,NA,NA,NA,ACM,NA,NA,NA,NA,NA,NA,NA,"Proceedings of the 1994 ACM SIGMETRICS conference on Measurement and modeling of computer systems, Vanderbilt University, Nashville, Tennessee, USA, May 16-20, 1994",db/conf/sigmetrics/sigmetrics94.html,NA,1994
